# Data generated by numpy
2.50,1.76
2.40,2.94
3.11,0.21
0.86,3.63
3.75,0.99
0.91,3.15
0.99,2.40
0.99,1.81
2.84,2.20
1.71,0.25
2.59,1.06
0.99,1.76
1.57,0.64
0.62,1.55
3.25,0.35
3.02,3.47
0.76,3.10
1.26,1.95
1.06,3.77
3.60,1.58
1.68,3.80
0.76,2.94
1.67,0.97
0.85,3.31
1.66,2.06
0.69,3.93
3.44,0.97
0.83,3.02
2.94,2.57
1.03,0.40
2.18,1.74
1.94,0.44
1.96,2.57
3.59,1.23
3.87,1.26
3.70,3.49
2.24,0.36
0.25,3.01
2.70,0.74
3.95,3.57
3.32,2.17
0.47,1.80
2.90,2.33
0.71,3.11
0.28,3.06
1.95,0.87
1.02,1.27
3.03,1.07
3.88,1.78
0.49,3.24
0.63,0.80
0.95,0.91
0.41,0.67
3.44,1.89
1.41,2.21
2.41,1.40
0.70,0.73
3.95,0.01
1.59,1.78
0.34,0.18
3.09,3.66
1.93,2.17
1.75,3.19
1.73,2.55
1.98,2.15
1.81,2.31
0.43,3.03
3.59,3.64
3.16,1.71
3.59,1.50
0.05,0.12
0.74,3.26
2.62,2.94
0.45,3.24
3.12,3.64
2.19,1.08
3.12,0.72
2.11,0.86
1.96,2.56
2.29,1.54
2.77,0.57
2.39,1.32
2.83,0.10
0.20,0.52
3.47,1.41
1.24,1.07
3.54,2.80
0.08,3.76
1.47,0.72
3.90,0.45
3.26,3.98
0.88,2.35
2.45,1.83
0.14,3.33
2.51,0.49
0.01,2.03
1.49,0.81
2.67,0.51
2.17,0.66
3.62,3.62
# end of file
